17/07/19 08:10,VL Berlin  -  VL Athens,2:0,4:0,1,Season 12657
17/07/19 08:10,VL Zagreb  -  VL Paris,1:3,1:3,1,Season 12657
17/07/19 08:10,VL Copenhagen  -  VL Moscow,0:0,1:0,1,Season 12657
17/07/19 08:10,VL London  -  VL Rome,0:0,2:0,1,Season 12657
17/07/19 08:10,VL Bern  -  VL Kiev,2:0,4:0,1,Season 12657
17/07/19 08:10,VL Lisbon  -  VL Madrid,2:1,3:3,1,Season 12657
17/07/19 08:10,VL Amsterdam  -  VL Prague,0:0,2:0,1,Season 12657
17/07/19 08:10,VL Vienna  -  VL Ankara,0:0,2:0,1,Season 12657
17/07/19 08:14,VL Rome  -  VL Amsterdam,1:0,3:0,2,Season 12657
17/07/19 08:14,VL Madrid  -  VL Bern,0:2,1:2,2,Season 12657
17/07/19 08:14,VL Moscow  -  VL Zagreb,0:0,1:0,2,Season 12657
17/07/19 08:14,VL Athens  -  VL Vienna,0:1,1:1,2,Season 12657
17/07/19 08:14,VL Prague  -  VL Lisbon,2:0,3:0,2,Season 12657
17/07/19 08:14,VL Kiev  -  VL Berlin,0:3,0:4,2,Season 12657
17/07/19 08:14,VL Ankara  -  VL Copenhagen,0:1,0:1,2,Season 12657
17/07/19 08:14,VL Paris  -  VL London,4:0,5:1,2,Season 12657
17/07/19 08:18,VL Zagreb  -  VL Ankara,0:2,0:3,3,Season 12657
17/07/19 08:18,VL Prague  -  VL Madrid,0:3,0:4,3,Season 12657
17/07/19 08:18,VL Lisbon  -  VL Rome,1:1,1:1,3,Season 12657
17/07/19 08:18,VL Berlin  -  VL Bern,1:0,2:1,3,Season 12657
17/07/19 08:18,VL Amsterdam  -  VL Paris,0:0,1:1,3,Season 12657
17/07/19 08:18,VL Vienna  -  VL Kiev,0:1,0:3,3,Season 12657
17/07/19 08:18,VL London  -  VL Moscow,0:0,1:0,3,Season 12657
17/07/19 08:18,VL Copenhagen  -  VL Athens,0:0,1:0,3,Season 12657
17/07/19 08:21,VL Athens  -  VL Zagreb,2:1,3:2,4,Season 12657
17/07/19 08:21,VL Bern  -  VL Vienna,0:0,1:0,4,Season 12657
17/07/19 08:21,VL Kiev  -  VL Copenhagen,2:0,3:0,4,Season 12657
17/07/19 08:21,VL Rome  -  VL Prague,0:1,2:1,4,Season 12657
17/07/19 08:21,VL Ankara  -  VL London,1:1,1:2,4,Season 12657
17/07/19 08:21,VL Madrid  -  VL Berlin,0:0,3:0,4,Season 12657
17/07/19 08:21,VL Paris  -  VL Lisbon,0:1,1:2,4,Season 12657
17/07/19 08:21,VL Moscow  -  VL Amsterdam,0:2,1:2,4,Season 12657
17/07/19 08:25,VL Prague  -  VL Paris,0:0,1:0,5,Season 12657
17/07/19 08:25,VL Lisbon  -  VL Moscow,0:0,0:1,5,Season 12657
17/07/19 08:25,VL Rome  -  VL Madrid,0:2,3:3,5,Season 12657
17/07/19 08:25,VL Amsterdam  -  VL Ankara,2:0,4:2,5,Season 12657
17/07/19 08:25,VL Copenhagen  -  VL Bern,1:0,1:0,5,Season 12657
17/07/19 08:25,VL London  -  VL Athens,1:0,2:0,5,Season 12657
17/07/19 08:25,VL Vienna  -  VL Berlin,0:1,1:4,5,Season 12657
17/07/19 08:25,VL Zagreb  -  VL Kiev,0:1,0:2,5,Season 12657
17/07/19 08:29,VL Berlin  -  VL Copenhagen,0:0,1:1,6,Season 12657
17/07/19 08:29,VL Moscow  -  VL Prague,1:0,3:0,6,Season 12657
17/07/19 08:29,VL Madrid  -  VL Vienna,1:0,1:0,6,Season 12657
17/07/19 08:29,VL Bern  -  VL Zagreb,0:2,1:3,6,Season 12657
17/07/19 08:29,VL Athens  -  VL Amsterdam,1:0,2:0,6,Season 12657
17/07/19 08:29,VL Paris  -  VL Rome,1:1,1:2,6,Season 12657
17/07/19 08:29,VL Kiev  -  VL London,1:2,3:2,6,Season 12657
